attendance_id,employee_id,year,month,working_days,days_present,days_absent,days_wfh,overtime_hours
1,1001,2023,4,20,18,2,7,10.2
2,1001,2023,5,23,21,2,2,6.9
3,1001,2023,6,22,21,1,1,1.6
4,1001,2023,7,21,20,1,6,10.4
5,1001,2023,8,23,23,0,5,7.7
6,1001,2023,9,21,19,2,1,3.6
7,1001,2023,10,22,20,2,8,2.3
8,1001,2023,11,22,22,0,6,3.1
9,1001,2023,12,21,21,0,8,2.5
10,1001,2024,1,23,21,2,7,7.4
11,1001,2024,2,21,19,2,7,11.6
12,1001,2024,3,21,21,0,2,7.3
13,1001,2024,4,22,20,2,4,11.1
14,1001,2024,5,23,23,0,8,3.7
15,1001,2024,6,20,20,0,4,10.3
16,1001,2024,7,23,21,2,0,0.4
17,1001,2024,8,22,20,2,9,9.1
18,1001,2024,9,21,20,1,7,1.9
19,1001,2024,10,23,22,1,8,8.2
20,1001,2024,11,21,19,2,7,11.0
21,1001,2024,12,22,22,0,6,6.6
22,1002,2021,4,22,21,1,8,6.4
23,1002,2021,5,21,20,1,0,4.4
24,1002,2021,6,22,22,0,3,4.8
25,1002,2021,7,22,20,2,5,3.9
26,1002,2021,8,22,22,0,2,10.6
27,1002,2021,9,22,20,2,2,10.2
28,1002,2021,10,21,21,0,3,8.5
29,1002,2021,11,22,20,2,10,8.3
30,1002,2021,12,23,22,1,8,6.5
31,1002,2022,1,21,21,0,3,6.3
32,1002,2022,2,20,19,1,10,5.1
33,1002,2022,3,23,21,2,9,4.0
34,1002,2022,4,21,19,2,4,1.4
35,1002,2022,5,22,20,2,10,1.6
36,1002,2022,6,22,20,2,0,8.2
37,1002,2022,7,21,21,0,3,0.4
38,1002,2022,8,23,23,0,10,0.7
39,1002,2022,9,22,21,1,0,6.6
40,1002,2022,10,21,19,2,3,6.5
41,1002,2022,11,22,21,1,6,3.1
42,1002,2022,12,22,22,0,5,7.6
43,1002,2023,1,22,21,1,4,11.1
44,1002,2023,2,20,18,2,2,3.0
45,1002,2023,3,23,23,0,3,7.7
46,1002,2023,4,20,19,1,6,9.4
47,1002,2023,5,23,21,2,5,9.3
48,1002,2023,6,22,22,0,3,7.2
49,1002,2023,7,21,20,1,1,7.7
50,1002,2023,8,23,21,2,2,11.1
51,1002,2023,9,21,21,0,0,7.5
52,1002,2023,10,22,20,2,4,2.1
53,1002,2023,11,22,22,0,6,0.7
54,1002,2023,12,21,20,1,3,0.7
55,1002,2024,1,23,22,1,0,6.6
56,1002,2024,2,21,19,2,4,8.0
57,1002,2024,3,21,21,0,2,7.4
58,1002,2024,4,22,22,0,5,9.1
59,1002,2024,5,23,22,1,8,11.5
60,1002,2024,6,20,20,0,1,8.3
61,1002,2024,7,23,23,0,0,11.3
62,1002,2024,8,22,20,2,3,7.8
63,1002,2024,9,21,21,0,7,6.2
64,1002,2024,10,23,22,1,5,6.4
65,1002,2024,11,21,21,0,2,9.4
66,1002,2024,12,22,21,1,9,7.8
67,1003,2020,1,23,21,2,1,10.1
68,1003,2020,2,20,19,1,10,11.7
69,1003,2020,3,22,20,2,7,9.6
70,1003,2020,4,22,22,0,4,6.5
71,1003,2020,5,21,21,0,9,2.3
72,1003,2020,6,22,21,1,7,0.1
73,1003,2020,7,23,21,2,7,9.6
74,1003,2020,8,21,21,0,5,7.8
75,1003,2020,9,22,20,2,0,4.4
76,1003,2020,10,22,21,1,4,4.4
77,1003,2020,11,21,21,0,2,6.8
78,1003,2020,12,23,22,1,2,6.9
79,1003,2021,1,21,20,1,10,7.5
80,1003,2021,2,20,18,2,4,0.7
81,1003,2021,3,23,21,2,0,10.4
82,1003,2021,4,22,20,2,4,5.7
83,1003,2021,5,21,21,0,7,3.0
84,1003,2021,6,22,21,1,6,6.3
85,1003,2021,7,22,22,0,7,2.7
86,1003,2021,8,22,22,0,6,7.9
87,1003,2021,9,22,22,0,9,3.8
88,1003,2021,10,21,20,1,6,11.6
89,1003,2021,11,22,21,1,6,9.0
90,1003,2021,12,23,21,2,0,2.9
91,1003,2022,1,21,20,1,2,5.1
92,1003,2022,2,20,18,2,0,2.7
93,1003,2022,3,23,21,2,0,9.7
94,1003,2022,4,21,19,2,8,11.9
95,1003,2022,5,22,21,1,0,7.3
96,1003,2022,6,22,20,2,5,10.0
97,1003,2022,7,21,20,1,8,9.2
98,1003,2022,8,23,21,2,1,8.2
99,1003,2022,9,22,20,2,6,6.0
100,1003,2022,10,21,20,1,8,8.6
101,1003,2022,11,22,22,0,0,8.7
102,1003,2022,12,22,22,0,7,0.2
103,1003,2023,1,22,22,0,3,1.3
104,1003,2023,2,20,18,2,9,8.1
105,1003,2023,3,23,22,1,3,4.0
