history_id,employee_id,job_id,department_id,location_id,salary,start_date,end_date,change_reason
1,1001,18,9,7,65600,2023-04-09,,New Hire
2,1002,20,8,8,134100,2021-04-21,2023-04-26,New Hire
3,1002,18,8,8,70300,2023-04-26,,Department Restructure
4,1003,3,26,2,161400,2018-10-29,2020-04-23,New Hire
5,1003,47,26,2,147400,2020-04-23,2023-07-19,Performance Based
6,1003,46,26,2,126200,2023-07-19,2024-09-23,Lateral Move
7,1003,3,26,2,137200,2024-09-23,,New Hire
8,1004,25,12,2,104300,2015-07-01,2017-11-25,New Hire
9,1004,24,12,2,93900,2017-11-25,2023-05-18,New Hire
10,1004,24,12,2,87400,2023-05-18,2024-12-23,New Hire
11,1004,24,12,2,74400,2024-12-23,,Performance Based
12,1005,50,29,2,56500,2022-11-29,2024-02-11,New Hire
13,1005,49,29,2,66800,2024-02-11,,Promotion
14,1006,19,9,15,104100,2019-02-07,2022-05-25,New Hire
15,1006,19,9,15,88900,2022-05-25,2024-12-10,Promotion
16,1006,19,9,15,92400,2024-12-10,,New Hire
17,1007,35,21,12,91400,2017-10-03,2021-10-21,New Hire
18,1007,37,21,12,150100,2021-10-21,2023-08-10,Performance Based
19,1007,37,21,12,152200,2023-08-10,2024-11-28,Performance Based
20,1007,37,21,12,133800,2024-11-28,,Promotion
21,1008,46,27,10,99200,2015-05-16,2017-05-20,New Hire
22,1008,48,27,10,208000,2017-05-20,2022-05-03,Manager Request
23,1008,46,27,10,109400,2022-05-03,2024-06-25,Manager Request
24,1008,47,27,10,165200,2024-06-25,,New Hire
25,1009,36,21,9,119800,2022-03-22,2023-07-08,New Hire
26,1009,35,21,9,99600,2023-07-08,,New Hire
27,1010,50,29,3,52200,2016-07-24,2020-12-04,New Hire
28,1010,49,29,3,84600,2020-12-04,2024-08-22,Performance Based
29,1010,50,29,3,47900,2024-08-22,,Promotion
30,1011,34,20,1,52700,2021-09-10,2023-04-29,New Hire
31,1011,34,20,1,63600,2023-04-29,,New Hire
32,1012,50,29,12,60400,2018-10-29,2021-11-17,New Hire
33,1012,50,29,12,59400,2021-11-17,2023-10-23,Department Restructure
34,1012,49,29,12,84400,2023-10-23,2024-12-03,New Hire
35,1012,49,29,12,91500,2024-12-03,,Department Restructure
36,1013,46,25,4,110300,2016-03-15,2019-04-22,New Hire
37,1013,48,25,4,180600,2019-04-22,2022-07-29,Department Restructure
38,1013,48,25,4,197600,2022-07-29,2024-08-25,Manager Request
39,1013,46,25,4,125500,2024-08-25,,New Hire
40,1014,38,18,14,291800,2021-09-23,2024-12-11,New Hire
41,1014,35,18,14,82500,2024-12-11,,Department Restructure
42,1015,20,8,13,147900,2015-12-21,2018-01-03,New Hire
43,1015,19,8,13,95200,2018-01-03,2023-05-26,Promotion
44,1015,19,8,13,94500,2023-05-26,2024-11-07,Promotion
45,1015,20,8,13,133900,2024-11-07,,Performance Based
46,1016,35,18,12,80600,2024-10-17,,New Hire
47,1017,27,13,6,159200,2019-12-04,2023-02-11,New Hire
48,1017,27,13,6,170100,2023-02-11,2024-02-14,Lateral Move
49,1017,27,13,6,170700,2024-02-14,,Promotion
50,1018,39,19,6,60200,2022-12-13,2024-08-06,New Hire
51,1018,39,19,6,79300,2024-08-06,,Manager Request
52,1019,43,22,8,140700,2016-06-29,2020-12-17,New Hire
53,1019,42,22,8,52400,2020-12-17,2022-12-16,Manager Request
54,1019,42,22,8,73700,2022-12-16,,New Hire
55,1020,15,4,2,115900,2019-08-15,,New Hire
56,1021,2,26,4,99900,2017-02-22,2020-03-04,New Hire
57,1021,46,26,4,128600,2020-03-04,2024-03-05,Department Restructure
58,1021,47,26,4,156400,2024-03-05,,Manager Request
59,1022,2,26,4,92000,2021-01-27,2024-04-04,New Hire
60,1022,46,26,4,115600,2024-04-04,,Promotion
61,1023,21,7,13,195100,2016-11-09,2021-12-14,New Hire
62,1023,20,7,13,121300,2021-12-14,2024-10-07,New Hire
63,1023,20,7,13,135100,2024-10-07,,Department Restructure
64,1024,45,24,12,69600,2018-05-04,2020-09-28,New Hire
65,1024,45,24,12,90100,2020-09-28,2021-11-22,New Hire
66,1024,45,24,12,89000,2021-11-22,2023-02-04,Promotion
67,1024,45,24,12,91900,2023-02-04,,Promotion
68,1025,32,16,2,83000,2020-12-19,2022-01-19,New Hire
69,1025,30,16,2,116000,2022-01-19,2023-07-03,Department Restructure
70,1025,32,16,2,73600,2023-07-03,,New Hire
71,1026,19,8,11,88600,2021-05-26,2023-07-13,New Hire
72,1026,18,8,11,79000,2023-07-13,,Department Restructure
73,1027,50,30,5,49100,2023-01-16,,New Hire
74,1028,14,3,15,108300,2021-04-29,2024-12-15,New Hire
75,1028,14,3,15,104700,2024-12-15,,Promotion
76,1029,19,8,13,93500,2019-12-04,2023-12-27,New Hire
77,1029,19,8,13,89600,2023-12-27,2024-12-27,New Hire
78,1029,18,8,13,64000,2024-12-27,,Lateral Move
79,1030,48,27,12,194500,2022-06-14,,New Hire
