review_id,employee_id,review_date,reviewer_id,performance_score,goals_met_pct,rating_label
1,1001,2023-06-30,1001,4.1,87.8,Exceeds Expectations
2,1001,2023-12-31,1001,3.1,85.9,Meets Expectations
3,1001,2024-06-30,1001,2.9,90.1,Meets Expectations
4,1001,2024-12-31,1001,4.5,76.8,Exceptional
5,1002,2021-06-30,1002,2.2,76.6,Below Expectations
6,1002,2021-12-31,1002,3.5,79.5,Exceeds Expectations
7,1002,2022-06-30,1002,3.9,97.8,Exceeds Expectations
8,1002,2022-12-31,1002,3.4,100.0,Meets Expectations
9,1002,2023-06-30,1002,4.2,94.4,Exceeds Expectations
10,1002,2023-12-31,1002,2.3,87.7,Below Expectations
11,1002,2024-06-30,1002,3.7,62.5,Exceeds Expectations
12,1002,2024-12-31,1002,3.1,96.5,Meets Expectations
13,1003,2018-12-31,1003,2.1,99.6,Below Expectations
14,1003,2019-06-30,1003,3.6,91.0,Exceeds Expectations
15,1003,2019-12-31,1003,4.4,82.7,Exceeds Expectations
16,1003,2020-06-30,1003,2.8,70.9,Meets Expectations
17,1003,2020-12-31,1003,3.0,92.6,Meets Expectations
18,1003,2021-06-30,1003,2.5,94.0,Meets Expectations
19,1003,2021-12-31,1003,3.4,86.1,Meets Expectations
20,1003,2022-06-30,1003,3.4,96.5,Meets Expectations
21,1003,2022-12-31,1003,3.6,74.9,Exceeds Expectations
22,1003,2023-06-30,1003,3.2,90.4,Meets Expectations
23,1003,2023-12-31,1003,2.5,95.3,Meets Expectations
24,1003,2024-06-30,1003,2.7,91.1,Meets Expectations
25,1003,2024-12-31,1003,2.5,86.2,Meets Expectations
26,1004,2015-12-31,1004,3.6,75.2,Exceeds Expectations
27,1004,2016-06-30,1004,3.5,76.6,Exceeds Expectations
28,1004,2016-12-31,1004,3.9,94.3,Exceeds Expectations
29,1004,2017-06-30,1004,4.3,83.6,Exceeds Expectations
30,1004,2017-12-31,1004,3.0,79.5,Meets Expectations
31,1004,2018-06-30,1004,3.5,82.1,Exceeds Expectations
32,1004,2018-12-31,1004,2.3,82.7,Below Expectations
33,1004,2019-06-30,1004,3.7,74.2,Exceeds Expectations
34,1004,2019-12-31,1004,2.7,97.3,Meets Expectations
35,1004,2020-06-30,1004,3.6,79.0,Exceeds Expectations
36,1004,2020-12-31,1004,4.8,78.7,Exceptional
37,1004,2021-06-30,1004,3.0,82.1,Meets Expectations
38,1004,2021-12-31,1004,3.2,78.7,Meets Expectations
39,1004,2022-06-30,1004,2.8,80.4,Meets Expectations
40,1004,2022-12-31,1004,3.3,87.2,Meets Expectations
41,1004,2023-06-30,1004,4.4,97.6,Exceeds Expectations
42,1004,2023-12-31,1004,4.4,89.0,Exceeds Expectations
43,1004,2024-06-30,1004,3.5,83.7,Exceeds Expectations
44,1004,2024-12-31,1004,3.1,55.5,Meets Expectations
45,1005,2022-12-31,1005,3.2,78.4,Meets Expectations
46,1005,2023-06-30,1005,4.3,90.5,Exceeds Expectations
47,1005,2023-12-31,1005,3.6,95.0,Exceeds Expectations
48,1005,2024-06-30,1005,4.1,87.7,Exceeds Expectations
49,1005,2024-12-31,1005,3.0,86.1,Meets Expectations
50,1006,2019-06-30,1001,3.7,90.0,Exceeds Expectations
51,1006,2019-12-31,1001,4.3,92.8,Exceeds Expectations
52,1006,2020-06-30,1001,2.9,66.5,Meets Expectations
53,1006,2020-12-31,1001,3.8,70.4,Exceeds Expectations
