training_id,employee_id,course_name,course_category,completion_date,score,passed
1,1001,Supply Chain Management,Operations,2023-08-15,68.4,No
2,1001,Agile & Scrum Fundamentals,Technical,2024-05-25,72.0,Yes
3,1001,Data Privacy & GDPR,Compliance,2024-03-24,76.3,Yes
4,1001,Negotiation Skills,Soft Skills,2024-12-15,71.0,Yes
5,1001,Workplace Harassment Prevention,Compliance,2023-10-16,67.7,No
6,1001,Cybersecurity Awareness,Security,2023-06-17,44.9,No
7,1001,Change Management,Management,2024-01-08,85.4,Yes
8,1001,Python for Data Analysis,Technical,2024-04-25,56.5,No
9,1002,Advanced Excel,Technical,2024-06-14,79.9,Yes
10,1002,Effective Communication,Soft Skills,2023-12-13,83.1,Yes
11,1002,Effective Communication,Soft Skills,2022-09-29,78.2,Yes
12,1002,Machine Learning Basics,Technical,2024-04-04,83.6,Yes
13,1002,Manager Effectiveness,Leadership,2023-02-22,90.6,Yes
14,1002,Machine Learning Basics,Technical,2021-05-26,79.7,Yes
15,1002,Financial Modeling,Finance,2023-12-28,67.8,No
16,1002,Agile & Scrum Fundamentals,Technical,2022-06-21,76.5,Yes
17,1002,Business Writing,Soft Skills,2022-03-18,100.0,Yes
18,1002,Supply Chain Management,Operations,2021-08-19,85.1,Yes
19,1002,Change Management,Management,2022-10-03,84.9,Yes
20,1002,Advanced Excel,Technical,2024-08-15,63.2,No
21,1002,Manager Effectiveness,Leadership,2022-04-26,75.9,Yes
22,1002,Agile & Scrum Fundamentals,Technical,2024-06-16,89.5,Yes
23,1003,Data Privacy & GDPR,Compliance,2024-03-02,55.3,No
24,1003,Workplace Harassment Prevention,Compliance,2022-02-20,71.7,Yes
25,1003,Presentation Skills,Soft Skills,2024-01-19,100.0,Yes
26,1003,Presentation Skills,Soft Skills,2020-01-27,66.9,No
27,1003,Agile & Scrum Fundamentals,Technical,2024-06-05,69.0,No
28,1003,Machine Learning Basics,Technical,2020-01-06,68.5,No
29,1003,Power BI Fundamentals,Technical,2023-04-21,71.6,Yes
30,1003,Supply Chain Management,Operations,2021-10-17,85.2,Yes
31,1003,Customer Service Excellence,Customer Success,2023-09-11,82.3,Yes
32,1003,Cloud Computing Essentials,Technical,2019-10-03,85.2,Yes
33,1003,Supply Chain Management,Operations,2021-11-14,88.8,Yes
34,1003,SQL for Analysts,Technical,2018-12-29,83.6,Yes
35,1003,Python for Data Analysis,Technical,2021-09-26,87.3,Yes
36,1003,Machine Learning Basics,Technical,2019-07-10,64.4,No
37,1003,Financial Modeling,Finance,2023-03-06,65.6,No
38,1003,Data Privacy & GDPR,Compliance,2019-12-05,70.3,Yes
39,1003,Unconscious Bias Training,DEI,2023-11-15,69.1,No
40,1003,Risk & Compliance Fundamentals,Compliance,2020-03-08,81.1,Yes
41,1003,Financial Modeling,Finance,2021-11-25,72.3,Yes
42,1003,Cloud Computing Essentials,Technical,2019-09-27,68.4,No
43,1004,Financial Modeling,Finance,2016-07-09,94.7,Yes
44,1004,Supply Chain Management,Operations,2017-01-23,53.2,No
45,1004,Advanced Excel,Technical,2022-08-18,86.0,Yes
46,1004,Negotiation Skills,Soft Skills,2019-07-06,89.7,Yes
47,1004,Presentation Skills,Soft Skills,2016-11-09,72.8,Yes
48,1004,Customer Service Excellence,Customer Success,2017-06-19,91.7,Yes
49,1004,Cloud Computing Essentials,Technical,2023-03-25,49.0,No
50,1004,Cybersecurity Awareness,Security,2016-04-15,82.3,Yes
51,1004,Risk & Compliance Fundamentals,Compliance,2018-09-05,87.7,Yes
52,1004,Advanced Excel,Technical,2018-05-03,90.3,Yes
53,1004,Customer Service Excellence,Customer Success,2018-04-30,80.4,Yes
54,1004,Negotiation Skills,Soft Skills,2022-08-08,82.0,Yes
55,1004,Machine Learning Basics,Technical,2017-02-13,97.9,Yes
56,1004,Supply Chain Management,Operations,2020-02-21,69.6,No
57,1004,SQL for Analysts,Technical,2019-12-29,83.9,Yes
58,1004,Project Management Professional,Management,2015-10-09,69.5,No
59,1004,Supply Chain Management,Operations,2017-10-08,85.0,Yes
60,1004,Data Privacy & GDPR,Compliance,2020-06-13,68.4,No
61,1004,Risk & Compliance Fundamentals,Compliance,2018-05-04,92.7,Yes
62,1004,Diversity & Inclusion,DEI,2022-03-28,73.9,Yes
63,1004,Customer Service Excellence,Customer Success,2018-04-29,97.1,Yes
64,1004,Cybersecurity Awareness,Security,2022-03-22,91.3,Yes
65,1004,Manager Effectiveness,Leadership,2022-09-09,55.9,No
66,1004,Machine Learning Basics,Technical,2015-12-07,91.6,Yes
67,1004,Supply Chain Management,Operations,2024-11-30,83.3,Yes
68,1004,Change Management,Management,2019-11-15,48.4,No
69,1004,Customer Service Excellence,Customer Success,2015-10-29,60.5,No
70,1004,Data Privacy & GDPR,Compliance,2024-04-10,73.9,Yes
71,1004,Cybersecurity Awareness,Security,2024-03-10,80.4,Yes
72,1005,Python for Data Analysis,Technical,2023-11-30,85.5,Yes
73,1005,SQL for Analysts,Technical,2024-11-26,75.4,Yes
74,1005,Diversity & Inclusion,DEI,2024-09-22,82.4,Yes
75,1005,Supply Chain Management,Operations,2023-07-03,97.2,Yes
76,1005,Strategic Thinking,Leadership,2023-01-20,88.6,Yes
77,1005,Unconscious Bias Training,DEI,2022-12-22,73.1,Yes
78,1006,Cloud Computing Essentials,Technical,2021-01-02,69.0,No
79,1006,Manager Effectiveness,Leadership,2023-04-17,68.2,No
80,1006,Unconscious Bias Training,DEI,2024-08-01,73.8,Yes
81,1006,Workplace Harassment Prevention,Compliance,2023-01-06,85.6,Yes
82,1006,Agile & Scrum Fundamentals,Technical,2024-02-24,100.0,Yes
83,1006,Manager Effectiveness,Leadership,2022-02-06,54.6,No
84,1006,Data Privacy & GDPR,Compliance,2022-11-18,60.9,No
85,1006,Change Management,Management,2023-03-26,71.6,Yes
86,1006,Business Writing,Soft Skills,2019-08-27,83.7,Yes
87,1006,Cybersecurity Awareness,Security,2019-10-07,66.8,No
88,1006,Manager Effectiveness,Leadership,2021-02-15,95.3,Yes
89,1006,Risk & Compliance Fundamentals,Compliance,2019-12-23,86.3,Yes
90,1006,Cybersecurity Awareness,Security,2020-08-05,90.7,Yes
91,1006,Business Writing,Soft Skills,2021-03-09,78.2,Yes
92,1006,Power BI Fundamentals,Technical,2024-12-01,68.7,No
93,1006,SQL for Analysts,Technical,2022-09-15,87.7,Yes
94,1006,Data Privacy & GDPR,Compliance,2020-06-06,88.0,Yes
95,1006,Supply Chain Management,Operations,2019-07-29,75.8,Yes
96,1006,Leadership Fundamentals,Leadership,2024-09-08,84.8,Yes
97,1007,Unconscious Bias Training,DEI,2021-11-04,70.0,Yes
98,1007,Python for Data Analysis,Technical,2021-12-28,69.3,No
99,1007,SQL for Analysts,Technical,2020-06-10,64.7,No
100,1007,Business Writing,Soft Skills,2019-01-19,78.9,Yes
101,1007,Customer Service Excellence,Customer Success,2020-07-08,78.3,Yes
102,1007,Financial Modeling,Finance,2018-06-26,75.1,Yes
103,1007,Advanced Excel,Technical,2023-06-02,67.6,No
104,1007,Cloud Computing Essentials,Technical,2020-07-28,40.0,No
105,1007,SQL for Analysts,Technical,2018-09-19,72.8,Yes
106,1007,SQL for Analysts,Technical,2022-01-25,72.6,Yes
107,1007,Data Privacy & GDPR,Compliance,2020-09-22,77.4,Yes
108,1007,Customer Service Excellence,Customer Success,2024-11-12,59.9,No
109,1007,Change Management,Management,2020-08-21,67.8,No
110,1007,Diversity & Inclusion,DEI,2018-11-19,77.1,Yes
111,1007,Workplace Harassment Prevention,Compliance,2019-03-28,81.9,Yes
112,1007,Cloud Computing Essentials,Technical,2021-01-25,65.8,No
113,1007,Effective Communication,Soft Skills,2020-10-18,68.6,No
114,1007,Negotiation Skills,Soft Skills,2024-06-23,69.5,No
115,1007,Unconscious Bias Training,DEI,2022-01-08,67.7,No
116,1007,Data Privacy & GDPR,Compliance,2020-07-02,92.6,Yes
117,1007,Unconscious Bias Training,DEI,2024-09-15,88.5,Yes
118,1007,Customer Service Excellence,Customer Success,2018-07-30,62.0,No
119,1008,Workplace Harassment Prevention,Compliance,2017-05-21,86.0,Yes
120,1008,Cybersecurity Awareness,Security,2015-07-30,73.0,Yes
121,1008,Supply Chain Management,Operations,2024-05-30,90.4,Yes
122,1008,Machine Learning Basics,Technical,2017-10-23,61.4,No
123,1008,SQL for Analysts,Technical,2024-10-05,97.3,Yes
124,1008,Diversity & Inclusion,DEI,2024-12-16,68.2,No
125,1008,Strategic Thinking,Leadership,2020-08-10,80.2,Yes
126,1008,Cloud Computing Essentials,Technical,2020-02-21,71.6,Yes
127,1008,Negotiation Skills,Soft Skills,2021-01-05,94.0,Yes
128,1008,Negotiation Skills,Soft Skills,2018-02-23,67.5,No
